"ldir_row","ldir_x_aligned","ldir_y_aligned","raman_row","raman_x_norm","raman_y_norm","dx","dy","dist"
137,-4798.50687321655,143.703276463049,27,-4794.86035001191,133.927357826846,3.64652320463847,-9.77591863620307,10.4338735215465
138,2364.60815249012,-1950.16890840108,594,2355.72546976548,-1939.60475368856,-8.88268272463984,10.5641547125219,13.8022975325384
139,-551.014117814331,2122.16734283445,31,-542.741759204982,2115.6086559861,8.27235860934877,-6.55868684834968,10.5569072240113
140,1038.02061744846,122.876209490692,299,1040.5366360219,124.168208907756,2.51601857343894,1.29199941706418,2.82835852670483
141,-697.713772095826,3596.53451090646,48,-697.165939160032,3597.8511565212,0.547832935793508,1.31664561473553,1.42607033499139
142,-1044.92476890718,348.874635160292,771,-1028.4029348257,335.999147210416,16.5218340814795,-12.8754879498757,20.9463407630863
143,2828.90960585886,1557.32576144086,64,2831.62749646711,1561.63343793173,2.71789060824858,4.30767649086238,5.09342773663613
144,5128.1679697843,-2287.0129003027,762,5123.87935728693,-2281.1749658568,-4.28861249737201,5.83793444590765,7.24387159931279
145,-5170.56279817634,-465.600073371431,367,-5166.85614410437,-474.010213074264,3.70665407196338,-8.41013970283262,9.19074176714613
146,3390.84059283984,-2424.90526666731,297,3389.04712002233,-2434.4510106449,-1.79347281751507,-9.54574397758688,9.71276339837441
147,3139.7327662223,3402.62219342072,50,3147.9387349624,3404.39038088978,8.2059687400988,1.76818746905155,8.39430818407268
148,-3617.10373062262,-2917.3019303497,57,-3620.31807421996,-2928.14913243428,-3.21434359733894,-10.8472020845761,11.3134343956814
149,6433.1096870906,-2387.29622908504,783,6429.30904211133,-2377.04425229729,-3.80064497927833,10.251976787742,10.9337976163323
150,-2578.68032163703,-4172.18128069072,35,-2581.82981571182,-4183.63493749635,-3.14949407479389,-11.4536568056365,11.8787864341634
151,3913.77481856126,-2201.71216713014,407,3907.43014790118,-2200.80550417015,-6.34467066008256,0.906662959983805,6.40912501890227
152,-2852.01143927781,-2968.2759252013,117,-2884.93749978717,-3123.33211081613,-32.9260605093609,-155.056185614825,158.513551969809
153,5703.75546532478,-1555.84412774641,727,5643.41052033273,-1584.83098710038,-60.3449449920481,-28.9868593539632,66.9458766564436
154,-3244.2161921032,-1182.27607775698,107,-3210.43381961807,-1332.8153179544,33.7823724851264,-150.53924019742,154.283218562293
155,-4214.57198226242,-1687.03463666734,215,-4213.90395553417,-1692.75569279387,0.668026728243603,-5.72105612652967,5.75992559956729
156,-45.3846476375818,297.890005744912,452,-94.3949765102025,430.146230900476,-49.0103288726207,132.256225155564,141.045104234786
157,4707.09723284021,1415.40865759426,108,4718.58764335283,1424.43128548096,11.4904105126134,9.02262788670123,14.6094951223598
158,2878.50227989724,1767.83226919138,102,2888.46018723123,1771.74217348396,9.95790733398962,3.90990429258045,10.6980030870001
159,679.0715689059,-3483.74103050112,106,673.133382597247,-3486.71689115645,-5.93818630865269,-2.97586065533096,6.64212340115848
160,4721.86309322544,-1070.4481913784,785,4722.03204885363,-1068.74422955542,0.168955628190815,1.70396182297736,1.71231769787668
161,6585.42615224672,-2128.05628215881,477,6580.86288414903,-2116.99163698265,-4.56326809769598,11.064645176155,11.9687003724573
162,2705.65147447208,798.381705510889,149,2719.11025010581,806.160498077276,13.4587756337278,7.77879256638755,15.5450395737647
163,75.9909525796396,3344.90627686606,634,185.175936642618,3387.1683533855,109.184984062978,42.2620765194333,117.078793368258
164,2664.7904765645,1122.36265047941,187,2669.16637034339,1125.91614207343,4.37589377888389,3.55349159401339,5.63699821472374
165,-4799.10980537101,-1554.28132878814,528,-4798.30475551277,-1561.86828376133,0.805049858249731,-7.58695497319945,7.62954723686955
