Identifier,Coord. [pixels],Coord. [µm],Max AAU score,Spectrum yielding score,Group,Group ID,No. of pixels [-],Area on map [µm²],Major dim [µm],Minor dim [µm],Feret min [µm],Volume [µm³],Mass [ng]
MP_5,[117;234],[2925;5850],0.802,PET6,PET,6,31,19375.0,255.4,96.6,150.0,748603.188,748.60319
MP_-1,[116;114],[2900;2850],0.819,Cellulose7,Cellulose,26,8,5000.0,95.7,66.5,75.0,133030.047,133.03005
MP_-1,[115;363],[2875;9075],0.779,Protein4,Protein,25,5,3125.0,80.9,49.2,55.0,61476.977,61.47698
MP_-1,[117;154],[2925;3850],0.734,Cellulose6,Cellulose,26,9,5625.0,104.1,68.8,97.5,154861.719,154.86172
MP_-1,[116;216],[2900;5400],0.721,Protein4,Protein,25,4,2500.0,60.4,52.7,50.0,52739.305,52.73930
MP_-1,[118;252],[2950;6300],0.840,Cellulose7,Cellulose,26,6,3750.0,80.9,59.0,75.0,88526.844,88.52684
MP_-1,[119;135],[2975;3375],0.793,Protein4,Protein,25,3,1875.0,60.4,39.6,30.0,29665.861,29.66586
MP_-1,[119;160],[2975;4000],0.731,Protein4,Protein,25,3,1875.0,60.4,39.6,30.0,29665.861,29.66586
MP_-1,[121;276],[3025;6900],0.790,Protein4,Protein,25,4,2500.0,80.9,39.3,55.0,39345.266,39.34527
MP_-1,[124;328],[3100;8200],0.797,Protein4,Protein,25,4,2500.0,60.4,52.7,50.0,52739.305,52.73930
MP_-1,[127;230],[3175;5750],0.789,Protein4,Protein,25,3,1875.0,60.4,39.6,50.0,29665.861,29.66586
MP_-1,[126;322],[3150;8050],0.709,Protein4,Protein,25,3,1875.0,60.4,39.6,30.0,29665.861,29.66586
MP_-1,[128;408],[3200;10200],0.924,Protein4,Protein,25,8,5000.0,95.7,66.5,75.0,133030.047,133.03005
MP_-1,[128;138],[3200;3450],0.771,Cellulose6,Cellulose,26,13,8125.0,150.0,69.0,112.5,224143.203,224.14320
MP_-1,[128;310],[3200;7750],0.773,Protein4,Protein,25,3,1875.0,60.4,39.6,50.0,29665.861,29.66586
MP_6,[134;420],[3350;10500],0.859,PET6,PET,6,58,36250.0,266.7,173.1,230.0,2509397.250,2509.39725
MP_-1,[130;139],[3250;3475],0.698,Protein4,Protein,25,3,1875.0,60.4,39.6,50.0,29665.861,29.66586
MP_-1,[130;414],[3250;10350],0.757,Protein4,Protein,25,4,2500.0,60.4,52.7,50.0,52739.305,52.73930
MP_-1,[132;156],[3300;3900],0.717,Cellulose6,Cellulose,26,5,3125.0,80.9,49.2,50.0,61476.977,61.47698
MP_-1,[130;182],[3250;4550],0.714,Protein4,Protein,25,4,2500.0,60.4,52.7,50.0,52739.305,52.73930
MP_-1,[131;250],[3275;6250],0.671,Protein1,Protein,25,5,3125.0,80.9,49.2,50.0,61476.977,61.47698
MP_-1,[133;398],[3325;9950],0.754,Protein4,Protein,25,3,1875.0,60.4,39.6,50.0,29665.861,29.66586
MP_-1,[132;401],[3300;10025],0.694,Protein6,Protein,25,2,1250.0,50.0,31.8,30.0,15915.494,15.91549
MP_-1,[134;476],[3350;11900],0.664,Protein1,Protein,25,4,2500.0,60.4,52.7,50.0,52739.305,52.73930
MP_-1,[144;308],[3600;7700],0.791,Protein4,Protein,25,4,2500.0,60.4,52.7,50.0,52739.305,52.73930
MP_-1,[144;315],[3600;7875],0.763,Protein4,Protein,25,4,2500.0,80.9,39.3,50.0,39345.266,39.34527
MP_-1,[146;358],[3650;8950],0.837,Protein4,Protein,25,5,3125.0,80.9,49.2,50.0,61476.977,61.47698
MP_-1,[146;130],[3650;3250],0.796,Protein4,Protein,25,4,2500.0,60.4,52.7,50.0,52739.305,52.73930
